Company Name,Industry,Symbol,Series,ISIN Code
ASK Automotive Ltd.,Automobile and Auto Components,ASKAUTOLTD,EQ,INE491J01022
AXISCADES Technologies Ltd.,Capital Goods,AXISCADES,EQ,INE555B01013
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016
Aarti Pharmalabs Ltd.,Healthcare,AARTIPHARM,EQ,INE0LRU01027
Aditya Vision Ltd.,Consumer Services,AVL,EQ,INE679V01027
Advanced Enzyme Tech Ltd.,Healthcare,ADVENZYMES,EQ,INE837H01020
Aequs Ltd.,Capital Goods,AEQUS,EQ,INE947N01017
Aether Industries Ltd.,Chemicals,AETHER,EQ,INE0BWX01014
Ahluwalia Contracts (India) Ltd.,Construction,AHLUCONT,EQ,INE758C01029
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ,INE09XN01023
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018
Alivus Life Sciences Ltd.,Healthcare,ALIVUS,EQ,INE03Q201024
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039
Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029
Apollo Micro Systems Ltd.,Capital Goods,APOLLO,EQ,INE713T01028
Archean Chemical Industries Ltd.,Chemicals,ACI,EQ,INE128X01021
Arvind Fashions Ltd.,Consumer Services,ARVINDFASN,EQ,INE955V01021
Arvind Ltd.,Textiles,ARVIND,EQ,INE034A01011
Ashapura Minechem Ltd.,Metals & Mining,ASHAPURMIN,EQ,INE348A01023
Ashoka Buildcon Ltd.,Construction,ASHOKA,EQ,INE442H01029
Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO,EQ,INE386C01029
Atlanta Electricals Ltd.,Capital Goods,ATLANTAELE,EQ,INE0Z4F01028
Aurionpro Solution Ltd.,Information Technology,AURIONPRO,EQ,INE132H01018
Avalon Technologies Ltd.,Capital Goods,AVALON,EQ,INE0LCL01028
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038
AvenuesAI Ltd.,Financial Services,CCAVENUE,EQ,INE483S01020
Awfis Space Solutions Ltd.,Services,AWFIS,EQ,INE108V01019
Azad Engineering Ltd.,Capital Goods,AZAD,EQ,INE02IJ01035
Bajaj Electricals Ltd,Consumer Durables,BAJAJELEC,EQ,INE193E01025
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027
Balu Forge Industries Ltd.,Capital Goods,BALUFORGE,EQ,INE011E01029
Banco Products (India) Ltd.,Automobile and Auto Components,BANCOINDIA,EQ,INE213C01025
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012
Black Box Ltd.,Information Technology,BBOX,EQ,INE676A01027
Blackbuck Ltd.,Services,BLACKBUCK,EQ,INE0UIZ01018
BlueStone Jewellery and Lifestyle Ltd.,Consumer Durables,BLUESTONE,EQ,INE304W01038
Borosil Renewables Ltd.,Capital Goods,BORORENEW,EQ,INE666D01022
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010
CMS Info Systems Ltd.,Services,CMSINFO,EQ,INE925R01014
CORONA Remedies Ltd.,Healthcare,CORONA,EQ,INE02ZQ01018
CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022
Canara Robeco Asset Management Company Ltd.,Financial Services,CRAMC,EQ,INE218I01013
Capillary Technologies India Ltd.,Information Technology,CAPILLARY,EQ,INE0ILV01024
Cello World Ltd.,Consumer Durables,CELLO,EQ,INE0LMW01024
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017
Cigniti Technologies Ltd.,Information Technology,CIGNITITEC,EQ,INE675C01017
Crizac Ltd.,Consumer Services,CRIZAC,EQ,INE0S4R01014
Cupid Ltd.,Fast Moving Consumer Goods,CUPID,EQ,INE509F01029
DCB Bank Ltd.,Financial Services,DCBBANK,EQ,INE503A01015
Datamatics Global Services Ltd.,Information Technology,DATAMATICS,EQ,INE365B01017
Diamond Power Infrastructure Ltd.,Capital Goods,DIACABS,EQ,INE989C01038
Dilip Buildcon Ltd.,Construction,DBL,EQ,INE917M01012
Dr. Agarwal's Health Care Ltd.,Healthcare,AGARWALEYE,EQ,INE943P01029
Dummy Allcargo Logistics Ltd.,Services,DUMMYALCAR,EQ,DUM418H01029
Dynamatic Technologies Ltd.,Capital Goods,DYNAMATECH,EQ,INE221B01012
EPL Ltd.,Capital Goods,EPL,EQ,INE255A01020
Edelweiss Financial Services Ltd.,Financial Services,EDELWEISS,EQ,INE532F01054
Electronics Mart India Ltd.,Consumer Services,EMIL,EQ,INE02YR01019
Electrosteel Castings Ltd.,Capital Goods,ELECTCAST,EQ,INE086A01029
Ellenbarrie Industrial Gases Ltd.,Chemicals,ELLEN,EQ,INE236E01022
Embassy Developments Ltd.,Realty,EMBDL,BE,INE069I01010
Entero Healthcare Solutions Ltd.,Consumer Services,ENTERO,EQ,INE010601016
Enviro Infra Engineers Ltd.,Utilities,EIEL,EQ,INE0LLY01014
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQ,INE063P01018
Ethos Ltd.,Consumer Durables,ETHOSLTD,EQ,INE04TZ01018
Eureka Forbes Ltd.,Consumer Durables,EUREKAFORB,EQ,INE0KCE01017
Fedbank Financial Services Ltd.,Financial Services,FEDFINA,EQ,INE007N01010
Fiem Industries Ltd,Automobile and Auto Components,FIEMIND,EQ,INE737H01014
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024
